frameID,eventType,player1Position,player2Position,ballPosition,speed
847,,"[16.8, 46.0, 0.0]","[-6.7, -48.42, 0.0]",,
848,,"[16.8, 46.0, 0.0]","[-6.89, -50.06, 0.0]",,
849,,"[16.8, 46.0, 0.0]","[-6.89, -50.06, 0.0]",,
850,,"[16.8, 46.0, 0.0]","[-6.79, -50.06, 0.0]",,
851,,"[16.8, 46.0, 0.0]","[-6.79, -50.06, 0.0]",,
852,,"[16.9, 46.0, 0.0]","[-7.0, -50.06, 0.0]",,
853,,"[16.9, 46.0, 0.0]","[-7.1, -50.06, 0.0]",,
854,,"[16.9, 46.0, 0.0]","[-7.41, -51.76, 0.0]",,
855,,"[16.8, 46.0, 0.0]","[-7.720000000000001, -53.459999999999994, 0.0]",,
856,,"[16.9, 46.0, 0.0]","[-8.030000000000001, -55.15999999999999, 0.0]",,
857,,"[16.9, 46.0, 0.0]","[-8.340000000000002, -56.859999999999985, 0.0]",,
858,,"[16.7, 46.0, 0.0]","[-8.650000000000002, -58.55999999999998, 0.0]",,
859,,"[16.9, 46.0, 0.0]","[-8.960000000000003, -60.25999999999998, 0.0]",,
860,,"[16.9, 46.0, 0.0]","[-9.270000000000003, -61.95999999999997, 0.0]",,
861,,"[17.0, 46.0, 0.0]","[-7.95, -50.06, 0.0]",,
862,,"[17.1, 46.0, 0.0]","[-7.85, -48.41, 0.0]",,
863,,"[17.2, 46.0, 0.0]","[-8.06, -48.41, 0.0]",,
864,,"[17.3, 46.0, 0.0]","[-8.27, -48.41, 0.0]",,
865,,"[17.3, 46.0, 0.0]","[-8.27, -48.41, 0.0]",,
866,,"[17.3, 46.0, 0.0]","[-8.27, -48.41, 0.0]",,
867,,"[17.4, 46.0, 0.0]","[-8.27, -48.41, 0.0]",,
868,p1nc,"[17.4, 46.0, 0.0]","[-8.59, -50.06, 0.0]","[-1.8, 0, 7.2]",
869,,"[17.3, 46.0, 0.0]","[-8.69, -50.06, 0.0]",,
870,,"[17.3, 46.0, 0.0]","[-8.79, -50.06, 0.0]",,
871,,"[17.3, 46.0, 0.0]","[-9.22, -50.06, 0.0]",,
872,,"[17.3, 46.0, 0.0]","[-9.44, -50.06, 0.0]",,
873,,"[17.2, 46.0, 0.0]","[-9.44, -50.06, 0.0]",,
874,,"[17.0, 46.0, 0.0]","[-9.54, -50.06, 0.0]",,
875,,"[17.2, 46.0, 0.0]","[-9.75, -50.05, 0.0]",,
876,,"[16.7, 46.0, 0.0]","[-9.65, -50.05, 0.0]",,
877,p1bb,"[16.6, 46.0, 0.0]","[-9.86, -50.05, 0.0]","[-6.7, -29.4, 0]",
